Comment,Designator,Footprint, Digi-Key_PN, MPN, LCSC
0.1uF,"C1,C2",Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,478-1395-1-ND,08055C104KAT2A,C49678
VIN1 LED,D3,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,732-4986-1-ND,150080VS75000,C2297
VIN2 LED,D4,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,732-4986-1-ND,150080VS75000,C2297
5V LED,D5,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,732-4986-1-ND,150080VS75000,C2297
1K,"R1,R2",Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,311-1.00KCRCT-ND,RC0805FR-071KL,C17513
330,R3,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,311-330CRCT-ND,RC0805FR-07330RL,C17630
74HC245,"U1,U2",Package_SO:SOIC-20W_7.5x12.8mm_P1.27mm,296-8279-1-ND,SN74HC245PWR,C5625
